;Atlagos suly;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
2020.05.08.;46,96;37,659486590654815;39,82971595363183;41,72819221019745;43,03175317467033;44,54973647811196;45,76971665837548;46,583327400993994;47,25639973651795;48,05960253693841;49,13280186869881;49,890042556957766;50,58222200247374;51,52429470555349;53,05399815738201;55,71146316419948;
2020.05.12.;49,72;30,911064326763153;39,041701597472034;42,359076619148254;45,204070428143375;48,02348974217539;49,42104098200798;50,72707744784977;51,61926168332929;52,35782251798588;53,31959195931753;54,2158028146495;55,05267257470152;56,12722012863396;57,50955466429392;59,89183088100475;
2020.05.15.;52,15;33,51601283853839;40,03974641046741;44,354675590991974;48,04683280509451;50,79311296885664;52,41315969695216;53,55739577956822;54,400883717970416;55,20086526611577;55,900476081771146;56,58424814180894;57,392108787661016;58,37446879433549;59,68874440545385;62,04245907197828;
2020.05.20.;56,54;35,91370276523673;40,71752093713005;47,608999328768775;51,78650085860259;54,608149370421536;56,59055085804152;57,812715533491854;58,66515607678372;59,84684777124362;60,63337636142044;61,59613147229882;62,63988866995681;64,25547934291156;66,19492785768075;69,21581255612166;
2020.05.23.;61,89;42,20399967332681;49,082129806280136;53,466605585068464;56,542562456180654;59,3734150181214;61,51379660938097;62,4934795193729;63,29569698808094;64,11420867343743;65,34688052016756;66,52623984217644;68,04115941375494;69,82552087927859;71,87049358176148;74,71438586603229;
2020.05.26.;63,48;40,931796553589045;48,78394466742046;54,8059758440308;57,192226122000385;61,204794793079294;63,67985615879297;64,77024404207866;65,70360457119735;66,40419344799149;67,449995983392;68,77129564159328;69,95893306285143;71,66836440563202;73,66837897275884;77,25769466751565;
2020.05.29.;68,94;46,99210561315219;55,01620241431963;60,09435948853691;64,69084781110287;67,61744452533978;69,0658588232029;69,99894524365664;70,96527130007743;71,89664364606142;72,84157175869764;73,8942110504955;74,89100280478597;76,51288511101157;78,23090164555985;81,44306878745556;
2020.06.02.;71,27;51,174857388843186;54,1009189974178;58,51520100235939;64,19724291292104;67,93436060168527;71,48435248299079;72,73310137878765;73,72527581825852;75,11415822871707;76,58489438552748;77,59543930671431;79,44255355677821;80,5812418550253;81,66369132291187;84,21542897007681;
2020.06.05.;75,38;55,270989710944036;59,69031356771787;62,49317754705747;64,77981998806908;68,57974185560431;73,80741060885036;76,72785164415836;78,5294009234224;79,68497729543597;81,29506737845284;82,40902320668101;83,80030783889245;85,58021371165911;87,25894662205663;90,8258666973561;
2020.06.09.;81,35;62,82816427648068;67,15262880027294;69,64046700447798;72,6433830320835;77,85597314685583;81,1762296743691;82,57740525528789;83,48882567568829;84,5017414148897;85,79431687295437;87,3908432841301;88,41516726836562;89,4637372482568;91,41249467153102;95,92984895195279;
2020.06.12.;84,13;66,30943817208554;69,89928038640954;72,71830921061337;75,68454133423752;79,02237480596222;82,34503740303475;84,94244540581857;86,60965022125414;87,6768340101016;88,85870699790017;89,88168588420147;91,2903992196022;93,25321791081556;95,21229324207223;98,21681098177515;
2020.06.16.;85,93;65,94068797571319;71,51606893980944;73,77001008474164;75,76091079679983;77,77888518811336;81,11295559726379;85,25434617311866;88,64519676934853;91,0485343201352;93,1836752005355;95,7672689402545;98,17063583752939;100,6349760787118;104,4834940665298;
2020.06.19.;90,67;72,69881628828095;75,78896287680433;78,09559842841378;80,22922149036319;84,25231155239302;88,52263157708305;91,9658270748011;94,35899393311863;96,2678821988936;97,53254654687908;98,8783683026659;100,7985010182329;102,88313578388521;107,12890947892748;
2020.06.23.;95,24;77,7201970764754;81,2872323839931;83,10982373486395;85,65382409970398;89,54297753844573;94,34636200834875;96,77085081216964;98,42615269837172;99,73535251876582;101,20535227008487;102,74449128819549;104,82741062148757;107,41603099133657;110,57043120005856;
2020.06.24.;97,48;79,42526148615971;82,99461007414398;85,23283016277519;88,02145451215374;91,18724726853164;96,6383206964187;99,35164597889651;100,76873986358228;102,36841374857825;103,64730540565823;105,39091672680594;107,37083823007086;109,49268590330338;112,88768925485404;
2020.06.30.;101,67;83,7559136621654;90,07070757791932;92,0652877518641;93,6582691755734;95,46223813295364;99,02008875459433;102,86473798751831;104,53930526226759;106,19431742280722;107,69948707520962;108,92064857841433;110,46512462943792;112,54675683006644;116,11147477626801;
2020.07.03.;104,09;84,17360135167837;90,80484970410664;92,58200425840914;94,45389827061445;98,54749378561974;103,46871664002538;106,0420696602336;108,03876108782632;109,5556609025225;110,47746932506561;111,55600520170161;112,7743208706379;114,76422945374534;119,96605820581317;
2020.07.08.;108,54;85,21316927715259;95,5804534980229;97,9369686230892;100,22966770915424;102,97172205708921;106,9561443206142;110,1953505333513;112,58097713835099;114,36420777965995;115,60389581943551;116,80945979847627;118,00305109514909;119,60517925396562;123,51193657342125;
